Продукт,Точність часу,Рейтинг популярності,Ціна,Тривалість роботи від батареї,Вага,Водостійкість,Вартість ремонту,Зручність використання,Екологічний вплив,Час доставки
Casio-GA-2100,45,80,20,10,30,60,25,15,50,70
Casio-A168WA,50,85,25,20,35,55,30,20,45,65
Casio-F91W,40,75,30,25,25,50,35,10,55,60
Casio-GW-M5610,60,90,15,35,40,45,20,30,40,75
Casio-AE-1200,55,70,10,40,45,65,15,25,35,80
Casio-Edifice,70,95,35,15,20,30,40,20,25,85
Casio-ProTrek,65,85,40,30,25,35,30,35,20,90
Casio-G-Shock,30,60,20,25,30,40,25,40,15,50
Casio-MT-G,25,55,15,10,20,25,20,45,10,45
Casio-Oceanus,35,65,25,20,15,50,35,15,5,55
